Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Moussa Diagne - 2014,"6' 9.5""","6' 10.5""",218,"7' 3.75""","9' 3""",NA,0,0,27,"11' 6""",33,"12' 0""",NA,13.51,3.62,NA,No
Dragan Bender - 2014,"6' 10""","6' 11""",202,"7' 1""","9' 3""",NA,0,0,24.5,"11' 3.5""",25.5,"11' 4.5""",NA,12.18,3.58,NA,No
Thon Maker - 2015,NA,"7' 0""",218,"7' 3.25""","9' 3""",NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,No
Willie Cauley-Stein - 2015,"6' 11.25""","7' 0.5""",242,"7' 3""","9' 3""",6.3,9.5,9,NA,NA,NA,NA,NA,NA,NA,NA,6
Dragan Bender - 2015,"6' 11.5""","7' 0.5""",216,"7' 2""","9' 3""",NA,0,0,23.5,"11' 2.5""",27.5,"11' 6.5""",NA,11.92,3.5,NA,No
Laurynas Birutis - 2015,"7' 0""","7' 1.25""",214,"7' 2.25""","9' 3""",NA,0,0,24,"11' 3""",28.5,"11' 7.5""",NA,12.74,3.62,NA,No
Thomas Welsh - 2015,"7' 0""","7' 0.75""",241,"7' 0""","9' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Isaac Haas - 2015,"7' 0""","7' 2""",292,"7' 4""","9' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Johnathan Motley - 2015,NA,"6' 9""",230,"7' 3.5""","9' 3""",6.6,8.75,9.5,NA,NA,36,"12' 3""",10,10.64,3.1,NA,No
DeAndre Ayton - 2016,NA,"6' 11.75""",243,"7' 5.5""","9' 3""",NA,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,No
Shevon Thompson - 2016,"6' 10""","6' 11""",241,"7' 5""","9' 3""",NA,0,0,25,"11' 4""",NA,NA,NA,13.85,3.79,NA,No
Semih Erden - 2008,NA,"7' 1""",248,"7' 2.5""","9' 3""",NA,0,0,23.6,"11' 2.60""",30,"11' 9""",NA,NA,NA,NA,No
Vyacheslav Kravtsov - 2008,NA,"6' 11.75""",240,"7' 2.25""","9' 3""",NA,0,0,26,"11' 5""",31,"11' 10""",NA,NA,NA,NA,No
Henk Norel - 2008,NA,"6' 11""",226,"7' 1.75""","9' 3""",NA,0,0,24,"11' 3""",28,"11' 7""",NA,NA,NA,NA,No
Serge Ibaka - 2008,NA,"6' 10.25""",228,"7' 3""","9' 3""",NA,0,0,28,"11' 7""",33,"12' 0""",NA,NA,NA,NA,No
Ante Zizic - 2016,"6' 10""","6' 11.5""",249,"7' 2.5""","9' 3""",NA,0,0,25,"11' 4""",27,"11' 6""",NA,13.27,3.48,NA,No
Jeremy Tyler - 2010,"6' 9.10""","6' 10.28""",246,"7' 3.80""","9' 2.63""",NA,0,0,27.2,"11' 5.83""",33.1,"11' 11.73""",NA,NA,NA,NA,39
Mamadou Samb - 2010,"6' 8.31""","6' 9.5""",211,"7' 2.22""","9' 2.63""",NA,0,0,21.7,"11' 0.33""",30.3,"11' 8.93""",NA,NA,NA,NA,No
Lucas Nogueira - 2011,"6' 9.89""","6' 11.07""",215,"7' 4.98""","9' 2.63""",5.7,0,0,17.6,"10' 8.23""",20.9,"10' 11.53""",NA,NA,3.67,NA,16
Chris Richard - 2007,"6' 7.5""","6' 8.75""",252,"7' 4.5""","9' 2.5""",7.5,0,0,26.5,"11' 5""",30.5,"11' 9""",15,11.39,3.29,35,41
Andrew Bogut - 2005,"6' 11""","7' 0.25""",251,"7' 3""","9' 2.5""",NA,0,0,27.5,"11' 6""",33.5,"12' 0""",13,12.06,3.51,60,1
D'Or Fischer - 2005,"6' 9.25""","6' 10.5""",242,"7' 6""","9' 2.5""",NA,0,0,28,"11' 6.5""",30.5,"11' 9""",2,12.53,3.5,72,No
Channing Frye - 2005,"6' 9.5""","6' 10.5""",244,"7' 2.5""","9' 2.5""",NA,0,0,27.5,"11' 6""",31,"11' 9.5""",19,11.6,3.38,33,8
Deng Gai - 2005,"6' 7.75""","6' 9.25""",214,"7' 4.5""","9' 2.5""",NA,0,0,31.5,"11' 10""",35.5,"12' 2""",11,12.51,3.27,46,No
Deng Gai - 2004,"6' 7.5""","6' 9""",218,"7' 4""","9' 2.5""",NA,0,0,28.5,"11' 7""",33,"11' 11.5""",12,12.99,3.35,55,No
Emeka Okafor - 2004,"6' 8.75""","6' 10""",257,"7' 4""","9' 2.5""",NA,0,0,31.5,"11' 10""",34,"12' 0.5""",22,12.32,3.15,8,2
Chris Kaman - 2003,"6' 11.5""","7' 0.5""",252,"6' 11.75""","9' 2.5""",16.3,0,0,23.5,"11' 2""",30.5,"11' 9""",15,11.33,3.37,45,6
Wesley Wilson - 2003,"6' 10.25""","6' 11.25""",257,"7' 3""","9' 2.5""",12.4,0,0,27,"11' 5.5""",30.5,"11' 9""",20,12.19,3.3,37,No
Lazaros Papadopoulos - 2001,"6' 10.25""",NA,227,"7' 2.5""","9' 2.5""",NA,0,0,23,"11' 1.5""",26,"11' 4.5""",4,12,3.7,75,No
