,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
69,69,1990-03-23,,DAL,L,103,106,46,97,.474,1,3,.333,10,14,.714,23,55,30,3,5,14,21,,40,76,.526,8,13,.615,18,27,.667,6,32,23,6,4,13,14
70,70,1990-03-25,,MIL,W,105,102,39,82,.476,1,3,.333,26,35,.743,13,40,23,10,6,17,25,,38,82,.463,0,2,.000,26,36,.722,13,41,19,12,1,15,25
71,71,1990-03-28,@,ORL,W,109,104,45,97,.464,2,3,.667,17,24,.708,17,53,22,5,6,12,24,,44,98,.449,1,6,.167,15,23,.652,15,39,31,6,4,12,24
72,72,1990-03-30,,CLE,L,104,105,48,92,.522,0,1,.000,8,13,.615,5,32,31,15,5,19,26,,41,76,.539,1,5,.200,22,31,.710,7,38,26,12,3,21,15
73,73,1990-04-01,@,CHI,L,103,111,42,88,.477,0,6,.000,19,25,.760,13,37,21,11,7,14,21,,43,84,.512,2,4,.500,23,29,.793,13,46,31,11,4,13,20
74,74,1990-04-04,,GSW,L,114,128,45,111,.405,4,12,.333,20,28,.714,31,60,26,9,9,22,23,,45,85,.529,5,7,.714,33,38,.868,7,41,27,14,12,18,27
75,75,1990-04-07,,BOS,L,105,115,46,102,.451,1,3,.333,12,23,.522,18,47,27,6,3,15,24,,45,86,.523,4,7,.571,21,25,.840,11,47,38,7,6,16,19
76,76,1990-04-08,@,NJN,L,101,102,39,87,.448,1,2,.500,22,33,.667,9,48,15,10,15,20,27,,38,99,.384,2,4,.500,24,35,.686,24,58,12,13,7,20,27
77,77,1990-04-12,@,BOS,L,118,139,51,90,.567,6,11,.545,10,15,.667,7,23,32,10,3,14,29,,51,82,.622,2,6,.333,35,35,1.000,12,42,38,7,9,17,13
78,78,1990-04-14,@,CLE,L,85,93,37,87,.425,2,6,.333,9,16,.563,18,46,22,11,4,23,32,,31,71,.437,3,7,.429,28,33,.848,10,38,27,6,10,22,19
79,79,1990-04-16,@,NYK,L,102,119,45,92,.489,2,3,.667,10,16,.625,17,45,27,7,2,20,24,,46,90,.511,4,6,.667,23,26,.885,16,43,36,12,6,14,19
80,80,1990-04-18,,CHH,L,91,98,34,85,.400,1,8,.125,22,29,.759,14,46,22,11,4,19,27,,37,78,.474,3,10,.300,21,29,.724,7,38,23,10,3,20,25
81,81,1990-04-20,,WSB,W,117,112,47,87,.540,0,2,.000,23,37,.622,14,44,31,8,8,17,24,,46,101,.455,4,8,.500,16,22,.727,21,44,26,10,7,20,28
82,82,1990-04-21,@,ATL,L,109,130,48,103,.466,6,13,.462,7,7,1.000,20,53,27,7,3,24,19,,52,94,.553,5,9,.556,21,28,.750,11,40,30,17,6,14,11
